,DOBEC,OBEC,OKRES,PSC,DPOSTA,POSTA,KOD_OKR,KRAJ,LAT,LNG
237,Bracovce,Bracovce,Michalovce,072 05,Bracovce,Bracovce,807,KI,48.6445657,21.8380088
238,Brádno,Brádno,Rimavská Sobota,982 67,Rovné,Rovné,609,BC,48.5671563,20.0187083
239,Branč,Branč,Nitra,951 13,Branč,Branč,403,NI,48.20995079999999,18.1469266
240,Branovo,Branovo,Nové Zámky,941 31,Dvory nad Žitavou,Dvory nad Žitavou,404,NI,48.023696,18.3060643
241,Bratislava,Bratislava,Bratislava I,,,Pozri zoz.ulíc s PSČ,101,BL,48.147136,17.1023435
242,Bratislava - Čunovo,Čunovo,Bratislava V,851 10,Bratislava 59,Bratislava 59,105,BL,48.0307363,17.1994899
243,Bratislava - Devín,Devín,Bratislava IV,841 10,Bratislava 49,Bratislava 49,104,BL,48.1766673,16.9840182
244,Bratislava - Devínska Nová Ves,Devínska Nová Ves,Bratislava IV,,,Poz.zoz.ulíc Bratis.,104,BL,48.2233308,16.9799293
245,Bratislava - Dúbravka,Dúbravka,Bratislava IV,,,Poz.zoz.ulíc Bratis.,104,BL,48.1888276,17.0290285
246,Bratislava - Jarovce,Jarovce,Bratislava V,851 10,Bratislava 59,Bratislava 59,105,BL,48.0650577,17.1140119
247,Bratislava - Karlova Ves,Karlova Ves,Bratislava IV,,,Poz.zoz.ulíc Bratis.,104,BL,48.1591643,17.0518443
248,Bratislava - Lamač,Lamač,Bratislava IV,841 03,Bratislava 42,Bratislava 42,104,BL,48.1938879,17.0474565
249,Bratislava - Nové Mesto,Nové Mesto,Bratislava III,,,Poz.zoz.ulíc Bratis.,103,BL,48.1671515,17.1368492
250,Bratislava - Petržalka,Petržalka,Bratislava V,,,Poz.zoz.ulíc Bratis.,105,BL,48.11088789999999,17.1115635
251,Bratislava - Podunajské Biskupice,Podunajské Biskupice,Bratislava II,821 06,Bratislava 214,Bratislava 214,102,BL,48.1251057,17.2107902
252,Bratislava - Rača,Rača,Bratislava III,,,Poz.zoz.ulíc Bratis.,103,BL,48.21202840000001,17.1546065
253,Bratislava - Rusovce,Rusovce,Bratislava V,851 10,Bratislava 59,Bratislava 59,105,BL,48.0487884,17.1524002
254,Bratislava - Ružinov,Ružinov,Bratislava II,,,Poz.zoz.ulíc Bratis.,102,BL,48.1575967,17.1627978
255,Bratislava - Staré Mesto,Staré Mesto,Bratislava I,,,Poz.zoz.ulíc Bratis.,101,BL,48.148598,17.1077475
256,Bratislava - Vajnory,Vajnory,Bratislava III,831 07,Bratislava 36,Bratislava 36,103,BL,48.2030662,17.2052549
257,Bratislava - Vrakuňa,Vrakuňa,Bratislava II,821 07,Bratislava 214,Bratislava 214,102,BL,48.1421639,17.2129005
258,Bratislava - Záhorská Bystrica,Záhorská Bystrica,Bratislava IV,841 06,Bratislava 48,Bratislava 48,104,BL,48.23537049999999,17.0438538
259,Bratkovica,Bratkovica,Detva,962 05,Hriňová,Hriňová,604,BC,48.59003,19.62698
260,Braväcovo,Braväcovo,Brezno,976 64,Beňuš,Beňuš,603,BC,48.8399271,19.7498294
261,Brdárka,Brdárka,Rožňava,049 34,Markuška,Markuška,808,KI,48.765752,20.3383715
262,Brehov,Brehov,Trebišov,076 05,Cejkov,Cejkov,811,KI,48.48728759999999,21.819578
263,Brehy,Brehy,Žarnovica,968 01,Nová Baňa,Nová Baňa,612,BC,48.4052897,18.6513012
264,Brekov,Brekov,Humenné,066 01,Humenné 1,Humenné 1,702,PV,48.9058438,21.8359461
265,Brestina,Brestina,Lučenec,985 53,Mýtna,Mýtna,606,BC,48.5334,19.54467
266,Brestov,Brestov,Humenné,066 01,Humenné 1,Humenné 1,702,PV,48.9642978,21.887499
267,Brestov,Brestov,Prešov,082 05,Šarišské Bohdanovce,Šarišské Bohdanovce,707,PV,48.9642978,21.887499
268,Brestov nad Laborcom,Brestov nad Laborcom,Medzilaborce,067 01,Radvaň nad Laborcom,Radvaň nad Laborcom,705,PV,49.1143051,21.9375737
269,Brestovany,Brestovany,Trnava,919 27,Brestovany,Brestovany,207,TA,48.387272,17.6876763
270,Brestové,Brestové,Nové Mesto n.Váhom,916 42,Moravské Lieskové,Moravské Lieskové,304,TC,48.83728,17.77171
271,Brestovec,Brestovec,Myjava,907 01,Myjava 1,Myjava 1,303,TC,48.7863351,17.5636857
272,Brestovec,Brestovec,Komárno,946 17,Sokolce na Ostrove,Sokolce na Ostrove,401,NI,47.8600928,17.8248882
273,Bretejovce,Bretejovce,Prešov,082 03,Lemešany,Lemešany,707,PV,48.8259088,21.2981089
274,Bretka,Bretka,Rožňava,980 46,Gemerská Panica,Gemerská Panica,808,KI,48.4878345,20.3413629
275,Breza,Breza,Námestovo,029 53,Breza,Breza,507,ZI,49.404472,19.4812155
276,Brezany,Brezany,Prievidza,972 12,Nedožery,Nedožery,307,TC,48.7745206,18.6245383
277,Brezany,Brezany,Žilina,010 04,Žilina 4,Žilina 4,511,ZI,49.189519,18.6714562
278,Brezina,Brezina,Trebišov,076 12,Kuzmice,Kuzmice,811,KI,48.5494137,21.5530229
279,Breziny,Breziny,Zvolen,962 61,Dobrá Niva,Dobrá Niva,611,BC,48.5111636,19.0849802
280,Breznica,Breznica,Stropkov,091 01,Stropkov,Stropkov,711,PV,49.20260829999999,21.6518083
281,Breznička,Breznička,Poltár,985 02,Breznička,Breznička,607,BC,48.4231291,19.7347017
282,Breznička,Breznička,Stropkov,091 01,Stropkov,Stropkov,711,PV,49.2222475,21.7025246
283,Brezno,Brezno,Brezno,,,Pozri zoz.ulíc s PSČ,603,BC,48.8060688,19.6438168
284,Brezolupy,Brezolupy,Bánovce nad Bebravou,957 01,Bánovce nad Bebravou 1,Bánovce nad Beb. 1,301,TC,48.7015162,18.299713
285,Brezov,Brezov,Bardejov,087 01,Giraltovce,Giraltovce,701,PV,49.1427714,21.4894158
286,Brezová pod Bradlom,Brezová pod Bradlom,Myjava,906 13,Brezová pod Bradlom,Brezová pod Bradlom,303,TC,48.66499899999999,17.5401983
287,Brezovec,Brezovec,Snina,067 73,Ubľa,Ubľa,709,PV,48.935427,22.3871003
288,Brezovica,Brezovica,Sabinov,082 74,Brezovica nad Torysou,Brezovica nad Torys.,708,PV,49.1443984,20.849736
289,Brezovica,Brezovica,Tvrdošín,028 01,Trstená,Trstená,510,ZI,49.340821,19.6518456
290,Brezovička,Brezovička,Sabinov,082 74,Brezovica nad Torysou,Brezovica nad Torys.,708,PV,49.1283645,20.8519263
291,Brezovka,Brezovka,Bardejov,086 11,Hrabovec,Hrabovec,701,PV,49.2727887,21.4169985
292,Brežany,Brežany,Prešov,082 41,Bajerov,Bajerov,707,PV,48.9784172,21.1115733
293,Brhlovce,Brhlovce,Levice,935 02,Žemberovce,Žemberovce,402,NI,48.2152468,18.7391032
294,Briestenné,Briestenné,Považská Bystrica,018 22,Pružina,Pružina,306,TC,49.01560809999999,18.5076017
295,Brieštie,Brieštie,Turčianske Teplice,038 22,Slovenské Pravno,Slovenské Pravno,509,ZI,48.9174273,18.7368979
296,Brišovka,Brišovka,Námestovo,029 57,Oravská Lesná,Oravská Lesná,507,ZI,49.3598364,19.1498001
297,Brnice,Brnice,Liptovský Mikuláš,032 23,Liptovská Sielnica,Liptovská Sielnica,505,ZI,49.1379856,19.5106867
298,Brodno,Brodno,Žilina,010 14,Žilina 14,Žilina 14,511,ZI,49.2545046,18.7580819
299,Brodské,Brodské,Skalica,908 85,Brodské,Brodské,206,TA,48.6923911,17.0135069
300,Brodzany,Brodzany,Partizánske,958 42,Brodzany,Brodzany,305,TC,48.6089601,18.3400041
301,Bršlica,Bršlica,Bytča,013 54,Kolárovice,Kolárovice,501,ZI,49.30312,18.50609
302,Bruchačka,Bruchačka,Brezno,976 51,Horná Lehota pri Brezne,Hor.Lehota pri Brez.,603,BC,48.8228166,19.545614
303,Brunovce,Brunovce,Nové Mesto n.Váhom,916 25,Potvorice,Potvorice,304,TC,48.6729209,17.8556056
304,Brusnica,Brusnica,Stropkov,090 31,Kolbovce,Kolbovce,711,PV,49.20260829999999,21.6518083
305,Brusník,Brusník,Revúca,982 65,Ratková,Ratková,608,BC,48.5375506,20.1531332
306,Brusník,Brusník,Veľký Krtíš,991 01,Senné,Senné,610,BC,48.2988116,19.4018963
307,Brusno,Brusno,Banská Bystrica,976 62,Brusno,Brusno,601,BC,48.7907048,19.3873222
308,Brusno,Brusno,Prievidza,972 32,Chrenovec,Chrenovec,307,TC,48.7747012,18.7261889
309,Brusno - kúpele,Brusno - kúpele,Banská Bystrica,976 62,Brusno,Brusno,601,BC,48.783912,19.3974515
310,Brutovce,Brutovce,Levoča,053 73,Brutovce,Brutovce,704,PV,49.0862468,20.7739758
311,Bruty,Bruty,Nové Zámky,943 55,Bruty,Bruty,404,NI,47.92337029999999,18.5803929
312,Brvnište,Brvnište,Považská Bystrica,018 12,Brvnište,Brvnište,306,TC,49.21393459999999,18.4268312
313,Brzotín,Brzotín,Rožňava,049 51,Brzotín,Brzotín,808,KI,48.6302631,20.4973517
314,Buclovany,Buclovany,Bardejov,086 43,Koprivnica,Koprivnica,701,PV,49.1553964,21.3663395
315,Búč,Búč,Komárno,946 35,Búč,Búč,401,NI,47.8082101,18.4467973
316,Bučany,Bučany,Trnava,919 28,Bučany,Bučany,207,TA,48.41867269999999,17.700311
317,Bučina,Bučina,Námestovo,029 57,Oravská Lesná,Oravská Lesná,507,ZI,49.37388,19.17749
318,Bučkovec,Bučkovec,Nové Mesto n.Váhom,916 42,Moravské Lieskové,Moravské Lieskové,304,TC,48.85022,17.75752
319,Bučuháza,Bučuháza,Dunajská Streda,931 01,Šamorín,Šamorín,201,TA,48.0293906,17.3357083
320,Budatín,Budatín,Žilina,010 03,Žilina 3,Žilina 3,511,ZI,49.23629709999999,18.7377335
321,Budatínska Lehota,Budatínska Lehota,Kysucké Nové Mesto,023 36,Radoľa,Radoľa,504,ZI,49.2978957,18.7946419
322,Budča,Budča,Zvolen,962 33,Budča,Budča,611,BC,48.5743992,19.0700413
323,Budička,Budička,Zvolen,962 34,Tŕnie,Tŕnie,611,BC,48.599574,19.0206718
324,Budikovany,Budikovany,Rimavská Sobota,980 23,Teplý Vrch,Teplý Vrch,609,BC,48.4847709,20.0911652
325,Budimír,Budimír,Košice-okolie,044 43,Budimír,Budimír,806,KI,48.7982257,21.3054939
326,Budiná,Budiná,Lučenec,985 12,Tuhár,Tuhár,606,BC,48.4563471,19.4786674
327,Budince,Budince,Michalovce,076 77,Ruská,Ruská,807,KI,48.5448153,22.1227244
328,Budiš,Budiš,Turčianske Teplice,038 23,Dubové pri Turčianskych Tepliciach,Dubové pri Turč.Tep.,509,ZI,48.872873,18.7578904
329,Budkovce,Budkovce,Michalovce,072 15,Budkovce,Budkovce,807,KI,48.6341305,21.929314
330,Budmerice,Budmerice,Pezinok,900 86,Budmerice,Budmerice,107,BL,48.3561767,17.4097059
331,Budulov,Budulov,Košice-okolie,045 01,Moldava nad Bodvou,Moldava nad Bodvou,806,KI,48.5879062,20.9927549
332,Budzín,Budzín,Sabinov,082 71,Lipany nad Torysou,Lipany nad Torysou,708,PV,49.154847,20.9414313
333,Buglovce,Buglovce,Levoča,053 04,Spišské Podhradie,Spišské Podhradie,704,PV,49.0202097,20.5843112
334,Bujakovo,Bujakovo,Brezno,977 01,Brezno,Brezno,603,BC,48.8205,19.68383
335,Buková,Buková,Trnava,919 10,Buková pri Trnave,Buková pri Trnave,207,TA,48.5420317,17.3953016
336,Buková,Buková,Bytča,013 61,Kotešová,Kotešová,501,ZI,49.2636,18.59299
337,Bukovce,Bukovce,Stropkov,090 22,Bukovce,Bukovce,711,PV,49.2663993,21.7120263
338,Bukovec,Bukovec,Myjava,906 14,Bukovec pri Myjave,Bukovec pri Myjave,303,TC,48.6994554,17.4968634
339,Bukovec,Bukovec,Veľký Krtíš,991 02,Dolná Strehová,Dolná Strehová,610,BC,48.2411793,19.4570293
340,Bukovec,Bukovec,Košice-okolie,044 20,Malá Ida,Malá Ida,806,KI,48.7092785,21.1508244
341,Bukovina,Bukovina,Žiar nad Hronom,966 01,Hliník nad Hronom,Hliník nad Hronom,613,BC,48.5368106,18.7317353
342,Bukovina,Bukovina,Liptovský Mikuláš,032 23,Liptovská Sielnica,Liptovská Sielnica,505,ZI,49.1346909,19.4708667
343,Bukovina,Bukovina,Žarnovica,968 01,Nová Baňa,Nová Baňa,612,BC,48.41694,18.57091
344,Bukovinka,Bukovinka,Detva,985 51,Podkriváň,Podkriváň,604,BC,48.49102999999999,19.4277
345,Bukovinka,Bukovinka,Levoča,053 14,Spišský Štvrtok,Spišský Štvrtok,704,PV,49.0415,20.4874599
346,Bulhary,Bulhary,Lučenec,986 01,Fiľakovo,Fiľakovo,606,BC,48.2936253,19.8480313
347,Bunde,Bunde,Prešov,082 33,Chminianska Nová Ves,Chminianska Nová Ves,707,PV,49.0257551,21.0598926
348,Bunetice,Bunetice,Košice-okolie,044 47,Kecerovce,Kecerovce,806,KI,48.86037289999999,21.3937953
349,Bunkovce,Bunkovce,Sobrance,072 44,Blatné Remety,Blatné Remety,809,KI,48.7234534,22.1182215
350,Bušince,Bušince,Veľký Krtíš,991 22,Bušince,Bušince,610,BC,48.1732384,19.5006452
351,Bušovce,Bušovce,Kežmarok,059 93,Bušovce,Bušovce,703,PV,49.21806979999999,20.4870088
352,Búštelek,Búštelek,Dunajská Streda,930 39,Zlaté Klasy,Zlaté Klasy,201,TA,48.1460071,17.3914851
353,Butty,Butty,Čadca,022 04,Čadca 4,Čadca 4,502,ZI,49.43855509999999,18.7897828
354,Buzica,Buzica,Košice-okolie,044 73,Buzica,Buzica,806,KI,48.53453460000001,21.0775133
355,Buzice,Buzice,Košice-okolie,044 13,Valaliky,Valaliky,806,KI,48.53453460000001,21.0775133
356,Buzitka,Buzitka,Lučenec,985 41,Šávoľ,Šávoľ,606,BC,48.3077838,19.8005784
357,Byster,Byster,Košice-okolie,044 41,Sady nad Torysou,Sady nad Torysou,806,KI,48.7076557,21.3461661
358,Bystrá,Bystrá,Brezno,977 01,Brezno,Brezno,603,BC,48.8060688,19.6438168
359,Bystrá,Bystrá,Stropkov,090 23,Havaj,Havaj,711,PV,49.2444839,21.8194376
360,Bystrany,Bystrany,Spišská Nová Ves,053 62,Bystrany pri Spišskej Novej Vsi,Bystrany pri S.N.Vsi,810,KI,48.9494712,20.757959
361,Bystré,Bystré,Vranov nad Topľou,094 34,Bystré nad Topľou,Bystré nad Topľou,713,PV,49.0062777,21.5419199
362,Bystričany,Bystričany,Prievidza,972 45,Bystričany,Bystričany,307,TC,48.6604318,18.5100381
363,Bystrička,Bystrička,Martin,038 04,Bystrička,Bystrička,506,ZI,49.0495064,18.8787145
364,Bystrička,Bystrička,Komárno,946 38,Radvaň nad Dunajom,Radvaň nad Dunajom,401,NI,47.76339,18.35732
365,Bystrička,Bystrička,Poltár,985 24,Rovňany,Rovňany,607,BC,48.4668163,19.6988738
366,Byšta,Byšta,Trebišov,076 13,Kazimír,Kazimír,811,KI,48.5305976,21.5409259
367,Bytča,Bytča,Bytča,014 01,Bytča 1,Bytča 1,501,ZI,49.22252049999999,18.5588046
368,Bytčica,Bytčica,Žilina,010 09,Žilina 9,Žilina 9,511,ZI,49.185,18.73306
369,Bzenica,Bzenica,Žiar nad Hronom,966 01,Hliník nad Hronom,Hliník nad Hronom,613,BC,48.529017,18.7417894
370,Bzenov,Bzenov,Prešov,082 42,Bzenov,Bzenov,707,PV,48.948664,21.1654928
371,Bzince,Bzince,Topoľčany,956 05,Radošina,Radošina,406,NI,48.5272161,17.9243368
372,Bzince pod Javorinou,Bzince pod Javorinou,Nové Mesto n.Váhom,916 11,Bzince pod Javorinou,Bzince pod Javorinou,304,TC,48.7873342,17.7714259
373,Bziny,Bziny,Dolný Kubín,026 01,Dolný Kubín 1,Dolný Kubín 1,503,ZI,49.2275481,19.3233458
374,Bzovík,Bzovík,Krupina,962 41,Bzovík,Bzovík,605,BC,48.3200002,19.0896916
375,Bzovská Lehôtka,Bzovská Lehôtka,Zvolen,962 62,Sása,Sása,611,BC,48.4136671,19.1307821
376,Bžany,Bžany,Stropkov,090 33,Turany nad Ondavou,Turany nad Ondavou,711,PV,49.09110070000001,21.6376599
377,Cabaj,Cabaj,Nitra,951 17,Cabaj- Čápor,Cabaj- Čápor,403,NI,48.3061414,18.076376
378,Cabaj - Čápor,Cabaj - Čápor,Nitra,951 17,Cabaj- Čápor,Cabaj- Čápor,403,NI,48.2457594,18.0208877
379,Cabov,Cabov,Vranov nad Topľou,094 14,Sečovská Polianka,Sečovská Polianka,713,PV,48.8036148,21.6445316
380,Cakov,Cakov,Rimavská Sobota,980 42,Rimavská Seč,Rimavská Seč,609,BC,48.340035,20.2255532
381,Cejkov,Cejkov,Trebišov,076 05,Cejkov,Cejkov,811,KI,48.46803389999999,21.7622517
382,Celulózka,Celulózka,Žilina,010 01,Žilina 1,Žilina 1,511,ZI,49.2174213,18.7669142
383,Cemjata,Cemjata,Prešov,080 01,Prešov 1,Prešov 1,707,PV,48.98357,21.1751399
384,Cernina,Cernina,Svidník,090 16,Cernina,Cernina,712,PV,49.2967576,21.4744316
385,Cerová,Cerová,Senica,906 33,Cerová,Cerová,205,TA,48.5861674,17.3788379
386,Cerová,Cerová,Prievidza,972 48,Horná Ves,Horná Ves,307,TC,48.56838,18.52089
387,Ceroviny,Ceroviny,Nitra,951 24,Nové Sady pri Nitre,Nové Sady pri Nitre,403,NI,48.4270603,17.9406788
388,Cerovo,Cerovo,Krupina,962 52,Cerovo pri Krupine,Cerovo pri Krupine,605,BC,48.2552794,19.1570713
389,Cestice,Cestice,Košice-okolie,044 71,Čečejovce,Čečejovce,806,KI,48.5928647,21.1017416
390,Cetuna,Cetuna,Nové Mesto n.Váhom,916 11,Bzince pod Javorinou,Bzince pod Javorinou,304,TC,48.82582550000001,17.726077
391,Cífer,Cífer,Trnava,919 43,Cífer,Cífer,207,TA,48.3133734,17.4900401
392,Cigeľ,Cigeľ,Prievidza,971 01,Prievidza 1,Prievidza 1,307,TC,48.7146193,18.6404351
393,Cigeľka,Cigeľka,Bardejov,086 02,Gaboltov,Gaboltov,701,PV,49.4060139,21.1483624
394,Cigla,Cigla,Svidník,086 37,Šarišské Čierne,Šarišské Čierne,712,PV,49.3589001,21.3967294
395,Cimenná,Cimenná,Bánovce nad Bebravou,956 37,Zlatníky pri Bánovciach nad Bebravou,Zlatníky pri Bánov.,301,TC,48.7272342,18.1436115
396,Cinobaňa,Cinobaňa,Poltár,985 22,Cinobaňa,Cinobaňa,607,BC,48.4463316,19.6520552
397,Cunín,Cunín,Skalica,908 48,Kopčany,Kopčany,206,TA,48.7662,17.10197
398,Čab,Čab,Nitra,951 24,Nové Sady pri Nitre,Nové Sady pri Nitre,403,NI,48.4051339,17.9834053
399,Čabalovce,Čabalovce,Medzilaborce,067 16,Výrava,Výrava,705,PV,49.2290147,21.9640406
400,Čabiny,Čabiny,Medzilaborce,067 02,Čabiny,Čabiny,705,PV,49.1822751,21.9007548
401,Čabradský Vrbovok,Čabradský Vrbovok,Krupina,962 51,Čabradský Vrbovok,Čabradský Vrbovok,605,BC,48.2569651,19.0773311
402,Čačín,Čačín,Banská Bystrica,974 01,Banská Bystrica 1,Banská Bystrica 1,601,BC,48.6658891,19.2549963
403,Čáčov,Čáčov,Senica,905 01,Senica 1,Senica 1,205,TA,48.6766,17.33372
404,Čadca,Čadca,Čadca,,,Pozri zoz.ulíc s PSČ,502,ZI,49.4385596,18.7897938
405,Čadca - Kyčerka,Čadca - Kyčerka,Čadca,022 04,Čadca 4,Čadca 4,502,ZI,49.43855509999999,18.7897828
406,Čadečka,Čadečka,Čadca,022 01,Čadca 1,Čadca 1,502,ZI,49.4543629,18.7853557
407,Čachtice,Čachtice,Nové Mesto n.Váhom,916 21,Čachtice,Čachtice,304,TC,48.7121223,17.7866871
408,Čajakovo,Čajakovo,Levice,935 61,Hronovce,Hronovce,402,NI,47.99866919999999,18.6573088
409,Čajkov,Čajkov,Levice,935 24,Čajkov,Čajkov,402,NI,48.2905634,18.5989604
410,Čaka,Čaka,Levice,935 68,Čaka,Čaka,402,NI,48.0397553,18.4693547
411,Čakajovce,Čakajovce,Nitra,951 43,Jelšovce,Jelšovce,403,NI,48.3696603,18.0379041
412,Čakanovce,Čakanovce,Košice-okolie,044 45,Bidovce,Bidovce,806,KI,48.768,21.4472025
413,Čakanovce,Čakanovce,Lučenec,985 58,Radzovce,Radzovce,606,BC,48.2134162,19.8146795
414,Čakany,Čakany,Dunajská Streda,930 40,Štvrtok na Ostrove,Štvrtok na Ostrove,201,TA,48.1158548,17.3616622
415,Čaklov,Čaklov,Vranov nad Topľou,094 35,Soľ,Soľ,713,PV,48.9092638,21.6268408
416,Čalovec,Čalovec,Komárno,946 02,Čalovec,Čalovec,401,NI,47.818576,17.9836351
417,Čamovce,Čamovce,Lučenec,986 01,Fiľakovo,Fiľakovo,606,BC,48.2494919,19.8867311
418,Čaňa,Čaňa,Košice-okolie,044 14,Čaňa,Čaňa,806,KI,48.607069,21.3248689
419,Čankov,Čankov,Levice,934 01,Levice 1,Levice 1,402,NI,48.1962795,18.7076417
420,Čápor,Čápor,Nitra,951 17,Cabaj- Čápor,Cabaj- Čápor,403,NI,48.3061414,18.076376
421,Čaradice,Čaradice,Zlaté Moravce,953 01,Zlaté Moravce 1,Zlaté Moravce 1,407,NI,48.35881999999999,18.5107101
422,Čáry,Čáry,Senica,908 43,Čáry,Čáry,205,TA,48.6548009,17.0853312
423,Častá,Častá,Pezinok,900 89,Častá,Častá,107,BL,48.400001,17.357868
424,Částa,Částa,Komárno,946 03,Kolárovo,Kolárovo,401,NI,47.90007,17.96367
425,Častkov,Častkov,Senica,906 04,Rohov,Rohov,205,TA,48.747046,17.3539012
426,Častkovce,Častkovce,Nové Mesto n.Váhom,916 27,Častkovce,Častkovce,304,TC,48.68920240000001,17.7805603
427,Čata,Čata,Levice,935 63,Čata,Čata,402,NI,47.9511516,18.64848
428,Čataj,Čataj,Senec,900 83,Čataj,Čataj,108,BL,48.2700553,17.4759499
429,Čavoj,Čavoj,Prievidza,972 29,Čavoj,Čavoj,307,TC,48.8826785,18.4865528
430,Čebovce,Čebovce,Veľký Krtíš,991 25,Čebovce,Čebovce,610,BC,48.1790228,19.229916
431,Čečehov,Čečehov,Michalovce,072 11,Čečehov,Čečehov,807,KI,48.7267168,21.9885897
432,Čečejovce,Čečejovce,Košice-okolie,044 71,Čečejovce,Čečejovce,806,KI,48.598203,21.0655753
433,Čečínska Potôň,Čečínska Potôň,Dunajská Streda,930 36,Horná Potôň,Horná Potôň,201,TA,48.03532999999999,17.5099752
434,Čechánky,Čechánky,Detva,985 45,Látky,Látky,604,BC,48.5489499,19.589908
435,Čechová,Čechová,Dunajská Streda,930 34,Holice na Ostrove,Holice na Ostrove,201,TA,48.0108826,17.481159
436,Čechy,Čechy,Nové Zámky,941 32,Semerovo,Semerovo,404,NI,48.0345157,18.3723107
437,Čechynce,Čechynce,Nitra,951 07,Čechynce,Čechynce,403,NI,48.2565734,18.1605323
438,Čekovce,Čekovce,Krupina,962 41,Bzovík,Bzovík,605,BC,48.3507523,19.1216874
439,Čeľadice,Čeľadice,Nitra,951 03,Čeľadice,Čeľadice,403,NI,48.3252329,18.2417451
440,Čeľadince,Čeľadince,Topoľčany,956 16,Nitrianska Streda,Nitrianska Streda,406,NI,48.55894850000001,18.1700017
441,Čeláre,Čeláre,Veľký Krtíš,991 22,Bušince,Bušince,610,BC,48.141558,19.4916061
442,Čelkova Lehota,Čelkova Lehota,Považská Bystrica,018 16,Domaniža,Domaniža,306,TC,49.0171095,18.5242936
443,Čelovce,Čelovce,Veľký Krtíš,991 41,Čelovce,Čelovce,610,BC,48.1832474,19.1432266
444,Čelovce,Čelovce,Prešov,082 14,Pušovce,Pušovce,707,PV,49.0788749,21.4031686
445,Čeľovce,Čeľovce,Trebišov,076 17,Nižný Žipov,Nižný Žipov,811,KI,48.62849139999999,21.7155658
446,Čemerné,Čemerné,Vranov nad Topľou,093 03,Vranov nad Topľou 3,Vranov nad Topľou 3,713,PV,48.87706559999999,21.667092
447,Čenkesfa,Čenkesfa,Dunajská Streda,929 01,Dunajská Streda 1,Dunajská Streda 1,201,TA,47.9724929,17.644995
448,Čenkov,Čenkov,Nové Zámky,943 52,Mužla,Mužla,404,NI,47.76583,18.53034
449,Čenkovce,Čenkovce,Dunajská Streda,930 39,Zlaté Klasy,Zlaté Klasy,201,TA,48.1060696,17.4337541
450,Čereňany,Čereňany,Prievidza,972 46,Čereňany,Čereňany,307,TC,48.6414143,18.4845208
451,Čerenčany,Čerenčany,Rimavská Sobota,979 01,Rimavská Sobota 1,Rimavská Sobota 1,609,BC,48.40799459999999,19.9868587
452,Čergov,Čergov,Komárno,945 01,Komárno 1,Komárno 1,401,NI,47.7625785,18.1294132
453,Čerhát,Čerhát,Komárno,945 04,Komárno 4,Komárno 4,401,NI,47.78617999999999,18.01114
454,Čerhov,Čerhov,Trebišov,076 81,Čerhov,Čerhov,811,KI,48.46155,21.640633
455,Čerín,Čerín,Banská Bystrica,974 01,Banská Bystrica 1,Banská Bystrica 1,601,BC,48.6606329,19.2474661
456,Čermáň,Čermáň,Nitra,949 01,Nitra 1,Nitra 1,403,NI,48.4683284,18.0358777
457,Čermany,Čermany,Topoľčany,956 08,Horné Obdokovce,Horné Obdokovce,406,NI,48.4683284,18.0358777
458,Černík,Černík,Nové Zámky,941 05,Černík,Černík,404,NI,48.1548154,18.2230926
459,Černina,Černina,Humenné,067 23,Baškovce pri Humennom,Baškovce pri Humen.,702,PV,49.05227679999999,21.823165
460,Černochov,Černochov,Trebišov,076 32,Borša,Borša,811,KI,48.4394108,21.7333763
461,Černochov Vrch,Černochov Vrch,Nové Mesto n.Váhom,916 01,Stará Turá,Stará Turá,304,TC,48.7601756,17.638866
462,Černová,Černová,Ružomberok,034 06,Ružomberok 6,Ružomberok 6,508,ZI,49.0918167,19.256131
463,Čertižné,Čertižné,Medzilaborce,067 52,Habura,Habura,705,PV,49.35105979999999,21.8271947
464,Červeň,Červeň,Poltár,985 02,Breznička,Breznička,607,BC,48.40934,19.74414
465,Červená Skala,Červená Skala,Brezno,976 71,Šumiac,Šumiac,603,BC,48.8206983,20.1364585
