,DOBEC,OBEC,OKRES,PSC,DPOSTA,POSTA,KOD_OKR,KRAJ,LAT,LNG
2543,Osuské,Osuské,Senica,906 12,Hradište pod Vrátnom,Hradište pod Vrátnom,205,TA,48.62434820000001,17.4407129
2544,Osušie,Osušie,Veľký Krtíš,991 02,Dolná Strehová,Dolná Strehová,610,BC,48.26797,19.54826
2545,Oščadnica,Oščadnica,Čadca,023 01,Oščadnica,Oščadnica,502,ZI,49.4366498,18.8831036
2546,Oškerda,Oškerda,Kysucké Nové Mesto,023 32,Snežnica,Snežnica,504,ZI,49.275716,18.7669913
2547,Otrhánky,Otrhánky,Bánovce nad Bebravou,956 55,Veľké Chlievany,Veľké Chlievany,301,TC,48.71884559999999,18.260344
2548,Otročok,Otročok,Revúca,982 62,Gemerská Ves,Gemerská Ves,608,BC,48.44792289999999,20.2759582
2549,Ovčiarsko,Ovčiarsko,Žilina,010 04,Žilina 4,Žilina 4,511,ZI,49.2232682,18.6612112
2550,Ovčie,Ovčie,Prešov,082 38,Víťaz,Víťaz,707,PV,48.96309,20.9769669
2551,Ozdín,Ozdín,Poltár,985 24,Rovňany,Rovňany,607,BC,48.470403,19.6841478
2552,Ožďany,Ožďany,Rimavská Sobota,980 11,Ožďany,Ožďany,609,BC,48.37752709999999,19.8942079
2553,Pác,Pác,Trnava,919 43,Cífer,Cífer,207,TA,48.30537,17.5209651
2554,Pača,Pača,Rožňava,049 41,Krásnohorské Podhradie,Krásnohor.Podhradie,808,KI,48.6776022,20.6072879
2555,Pačérok,Pačérok,Komárno,946 03,Kolárovo,Kolárovo,401,NI,47.93325,18.01338
2556,Padáň,Padáň,Dunajská Streda,929 01,Dunajská Streda 1,Dunajská Streda 1,201,TA,47.9286322,17.6842666
2557,Padarovce,Padarovce,Rimavská Sobota,980 23,Teplý Vrch,Teplý Vrch,609,BC,48.45750580000001,20.0704851
2558,Paderovce,Paderovce,Trnava,919 30,Jaslovské Bohunice,Jaslovské Bohunice,207,TA,48.4912472,17.6330213
2559,Pagaňov,Pagaňov,Považská Bystrica,018 03,Horná Mariková,Horná Mariková,306,TC,49.2248058,18.3316397
2560,Pakostov,Pakostov,Humenné,094 07,Nižná Sitnica,Nižná Sitnica,702,PV,49.0928477,21.8258208
2561,Palárikovo,Palárikovo,Nové Zámky,941 11,Palárikovo,Palárikovo,404,NI,48.0405254,18.0708917
2562,Palcmanská Maša,Palcmanská Maša,Spišská Nová Ves,053 76,Mlynky,Mlynky,810,KI,48.8536304,20.3873102
2563,Palín,Palín,Michalovce,072 13,Palín,Palín,807,KI,48.6577215,21.9901568
2564,Palota,Palota,Medzilaborce,068 01,Medzilaborce,Medzilaborce,705,PV,49.2693021,21.9942182
2565,Paľovce,Paľovce,Galanta,925 92,Kajal,Kajal,202,TA,48.1632922,17.8068317
2566,Palúdzka,Palúdzka,Liptovský Mikuláš,031 01,Liptovský Mikuláš 1,Liptovský Mikuláš 1,505,ZI,49.0841904,19.5954171
2567,Paňa,Paňa,Nitra,951 05,Veľký Cetín,Veľký Cetín,403,NI,48.2303897,18.2269979
2568,Panické Dravce,Panické Dravce,Lučenec,985 32,Veľká nad Ipľom,Veľká nad Ipľom,606,BC,48.283404,19.6523768
2569,Paňovce,Paňovce,Košice-okolie,044 71,Čečejovce,Čečejovce,806,KI,48.6460655,21.0632387
2570,Papča,Papča,Rimavská Sobota,980 23,Teplý Vrch,Teplý Vrch,609,BC,48.4679903,20.0642642
2571,Papín,Papín,Humenné,067 33,Papín,Papín,702,PV,49.09185249999999,22.0613987
2572,Paprad,Paprad,Nové Mesto n.Váhom,916 01,Stará Turá,Stará Turá,304,TC,48.78063359999999,17.6441353
2573,Papradno,Papradno,Považská Bystrica,018 13,Papradno,Papradno,306,TC,49.23103630000001,18.410288
2574,Parchovany,Parchovany,Trebišov,076 62,Parchovany,Parchovany,811,KI,48.7521583,21.7141696
2575,Parihuzovce,Parihuzovce,Snina,067 35,Pčoliné,Pčoliné,709,PV,49.1105375,22.192588
2576,Párnica,Párnica,Dolný Kubín,026 01,Dolný Kubín 1,Dolný Kubín 1,503,ZI,49.1957898,19.1999654
2577,Párovské Háje,Párovské Háje,Nitra,949 01,Nitra 1,Nitra 1,403,NI,48.28337699999999,18.0142423
2578,Partizánska Ľupča,Partizánska Ľupča,Liptovský Mikuláš,032 15,Partizánska Ľupča,Partizánska Ľupča,505,ZI,49.0644658,19.434776
2579,Partizánske,Partizánske,Partizánske,,,Pozri zoz.ulíc s PSČ,305,TC,48.628493,18.3768911
2580,Partizánske - Šípok,Partizánske - Šípok,Partizánske,,,Pozri zoz.ulíc s PSČ,305,TC,48.6219235,18.3941513
2581,Paseky,Paseky,Detva,985 45,Látky,Látky,604,BC,48.58235,19.64525
2582,Pasiečka,Pasiečka,Púchov,020 53,Lúky,Lúky,308,TC,49.1235654,18.3241203
2583,Pastovce,Pastovce,Levice,935 74,Pastovce,Pastovce,402,NI,47.9683505,18.7541179
2584,Pastovník,Pastovník,Stará Ľubovňa,065 44,Plaveč nad Popradom,Plaveč nad Popradom,710,PV,49.24789,20.8523199
2585,Pastuchov,Pastuchov,Hlohovec,920 63,Pastuchov,Pastuchov,203,TA,48.4270013,17.878407
